,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
187,被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台), 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险,8.5,256993人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
188,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送, 宫崎骏 Hayao Miyazaki, 高山南 / 佐久间玲 / 山口胜平,1989,日本,动画 奇幻 冒险,8.5,192082人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
189,惊魂记,Psycho,精神病患者  /  触目惊心, Alfred Hitchcock, Janet Leigh / Anthony Perkins / Vera Miles,1960,美国,悬疑 惊悚 恐怖,8.9,81877人评价,故事的反转与反转，分裂电影的始祖。
190,再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐,8.5,165708人评价,爱我就给我看你的播放列表。
191,东京物语,東京物語,东京故事  /  Tokyo Story, 小津安二郎 Yasujir? Ozu, 笠智众 Chish? Ry? / 原节...,1953,日本,剧情 家庭,9.2,49880人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
192,青蛇,Green Snake,, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,香港,剧情 奇幻 古装,8.4,217969人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
193,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里, Frank Darabont, 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999,美国,犯罪 剧情 奇幻 悬疑,8.7,105348人评价,天使暂时离开。
194,末路狂花,Thelma & Louise,塞尔玛与路易丝  /  末路狂花, 雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 法国,犯罪 剧情 惊悚,8.7,103363人评价,没有了退路，只好飞向自由。
195,勇闯夺命岛,The Rock,石破天惊  /  绝地任务, 迈克尔·贝 Michael Bay, 肖恩·康纳利 Sean Connery / 尼古拉...,1996,美国,动作 冒险,8.5,140549人评价,类型片的极致。
196,哪吒闹海,,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang, 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻,8.8,78842人评价,想你时你在闹海。
197,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事, Seijir? K?yama, 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情,9.0,56811人评价,养狗三日，便会对你终其一生。
198,迁徙的鸟,Le peuple migrateur,鸟的迁徙  /  鸟与梦飞行, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,2001,法国 德国 意大利 西班牙 瑞士,纪录片,9.1,51426人评价,最美的飞翔。
